0	2
0.01	1.98423
0.02	1.93717
0.03	1.85955
0.04	1.75261
0.05	1.61803
0.06	1.45794
0.07	1.27485
0.08	1.07165
0.09	0.851559
0.1	0.618034
0.11	0.374763
0.12	0.125581
0.13	-0.125581
0.14	-0.374763
0.15	-0.618034
0.16	-0.851559
0.17	-1.07165
0.18	-1.27485
0.19	-1.45794
0.2	-1.61803
0.21	-1.75261
0.22	-1.85955
0.23	-1.93717
0.24	-1.98423
0.25	-2
0.26	-1.98423
0.27	-1.93717
0.28	-1.85955
0.29	-1.75261
0.3	-1.61803
0.31	-1.45794
0.32	-1.27485
0.33	-1.07165
0.34	-0.851559
0.35	-0.618034
0.36	-0.374763
0.37	-0.125581
0.38	0.125581
0.39	0.374763
0.4	0.618034
0.41	0.851559
0.42	1.07165
0.43	1.27485
0.44	1.45794
0.45	1.61803
0.46	1.75261
0.47	1.85955
0.48	1.93717
0.49	1.98423
0.5	2
0.51	1.98423
0.52	1.93717
0.53	1.85955
0.54	1.75261
0.55	1.61803
0.56	1.45794
0.57	1.27485
0.58	1.07165
0.59	0.851559
0.6	0.618034
0.61	0.374763
0.62	0.125581
0.63	-0.125581
0.64	-0.374763
0.65	-0.618034
0.66	-0.851559
0.67	-1.07165
0.68	-1.27485
0.69	-1.45794
0.7	-1.61803
0.71	-1.75261
0.72	-1.85955
0.73	-1.93717
0.74	-1.98423
0.75	-2
0.76	-1.98423
0.77	-1.93717
0.78	-1.85955
0.79	-1.75261
0.8	-1.61803
0.81	-1.45794
0.82	-1.27485
0.83	-1.07165
0.84	-0.851559
0.85	-0.618034
0.86	-0.374763
0.87	-0.125581
0.88	0.125581
0.89	0.374763
0.9	0.618034
0.91	0.851559
0.92	1.07165
0.93	1.27485
0.94	1.45794
0.95	1.61803
0.96	1.75261
0.97	1.85955
0.98	1.93717
0.99	1.98423
1	2
1.01	1.98423
1.02	1.93717
1.03	1.85955
1.04	1.75261
1.05	1.61803
1.06	1.45794
1.07	1.27485
1.08	1.07165
1.09	0.851559
1.1	0.618034
1.11	0.374763
1.12	0.125581
1.13	-0.125581
1.14	-0.374763
1.15	-0.618034
1.16	-0.851559
1.17	-1.07165
1.18	-1.27485
1.19	-1.45794
1.2	-1.61803
1.21	-1.75261
1.22	-1.85955
1.23	-1.93717
1.24	-1.98423
1.25	-2
1.26	-1.98423
1.27	-1.93717
1.28	-1.85955
1.29	-1.75261
1.3	-1.61803
1.31	-1.45794
1.32	-1.27485
1.33	-1.07165
1.34	-0.851559
1.35	-0.618034
1.36	-0.374763
1.37	-0.125581
1.38	0.125581
1.39	0.374763
1.4	0.618034
1.41	0.851559
1.42	1.07165
1.43	1.27485
1.44	1.45794
1.45	1.61803
1.46	1.75261
1.47	1.85955
1.48	1.93717
1.49	1.98423
1.5	2
1.51	1.98423
1.52	1.93717
1.53	1.85955
